"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","EID"
"Scherer K.; Van Der Schyff A.; Bomans D.J.; Ferreira S.E.S.; Fichtner H.; Kleimann J.; Strauss R.D.; Weis K.; Wiengarten T.; Wodzinski T.","Scherer, K. (56236453600); Van Der Schyff, A. (56598103400); Bomans, D.J. (7003799837); Ferreira, S.E.S. (7202480306); Fichtner, H. (7005663552); Kleimann, J. (6603211561); Strauss, R.D. (35775781400); Weis, K. (56249602600); Wiengarten, T. (36572681000); Wodzinski, T. (58426754200)","56236453600; 56598103400; 7003799837; 7202480306; 7005663552; 6603211561; 35775781400; 56249602600; 36572681000; 58426754200","Cosmic rays in astrospheres","2015","Astronomy and Astrophysics","576","","A97","","","","17","10.1051/0004-6361/201425091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928045797&doi=10.1051%2f0004-6361%2f201425091&partnerID=40&md5=b5000e6a013dfa45070333d0265e7096","2-s2.0-84928045797"
"Bull P.; Ferreira P.G.; Patel P.; Santos M.G.","Bull, Philip (54962165700); Ferreira, Pedro G. (57189231035); Patel, Prina (55415610300); Santos, Mário G. (7402562372)","54962165700; 57189231035; 55415610300; 7402562372","Late-time cosmology with 21 cm intensity mapping experiments","2015","Astrophysical Journal","803","1","21","1","33","32","144","10.1088/0004-637X/803/1/21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927624429&doi=10.1088%2f0004-637X%2f803%2f1%2f21&partnerID=40&md5=fecd4e61a015a9865d755331691f886a","2-s2.0-84927624429"
"Stark D.P.; Richard J.; Charlot S.; Clément B.; Ellis R.; Siana B.; Robertson B.; Schenker M.; Gutkin J.; Wofford A.","Stark, Daniel P. (12242554300); Richard, Johan (14627922300); Charlot, Stéphane (23994997700); Clément, Benjamin (55731742600); Ellis, Richard (7401985303); Siana, Brian (35227996700); Robertson, Brant (9437218600); Schenker, Matthew (36483517800); Gutkin, Julia (55947750400); Wofford, Aida (26530507100)","12242554300; 14627922300; 23994997700; 55731742600; 7401985303; 35227996700; 9437218600; 36483517800; 55947750400; 26530507100","Spectroscopic detections of C III] λ1909 Å at z ≃ 6-7: A new probe of early star-forming galaxies and cosmic reionization","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1846","1855","9","159","10.1093/mnras/stv688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929638221&doi=10.1093%2fmnras%2fstv688&partnerID=40&md5=a1d2f2e8030b4d19d83dffd19ff44160","2-s2.0-84929638221"
"Ahn K.; Iliev I.T.; Shapiro P.R.; Srisawat C.","Ahn, Kyungjin (8236359100); Iliev, Ilian T. (7005749078); Shapiro, Paul R. (7102826983); Srisawat, Chaichalit (55916145700)","8236359100; 7005749078; 7102826983; 55916145700","Non-linear bias of cosmological halo formation in the early universe","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1486","1502","16","34","10.1093/mnras/stv704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938099116&doi=10.1093%2fmnras%2fstv704&partnerID=40&md5=33c5f7eb29d52acb2ef74be63dc62a8a","2-s2.0-84938099116"
"Yu Y.; Zhang P.; Lin W.; Cui W.","Yu, Yu (55731499600); Zhang, Pengjie (7404159854); Lin, Weipeng (7406519400); Cui, Weiguang (25640526000)","55731499600; 7404159854; 7406519400; 25640526000","The source-lens clustering effect in the context of lensing tomography and its self-calibration","2015","Astrophysical Journal","803","1","46","","","","4","10.1088/0004-637X/803/1/46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927630668&doi=10.1088%2f0004-637X%2f803%2f1%2f46&partnerID=40&md5=20919e386fca44fe142189b40531fc17","2-s2.0-84927630668"
"Kantowski R.; Chen B.; Dai X.","Kantowski, R. (8415055600); Chen, B. (57201373246); Dai, X. (8566143400)","8415055600; 57201373246; 8566143400","Integrated Sachs-Wolfe effect versus redshift test for the cosmological parameters","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","91","8","083004","","","","2","10.1103/PhysRevD.91.083004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929192465&doi=10.1103%2fPhysRevD.91.083004&partnerID=40&md5=6f60499efc9cb618569dbeeca66e6be9","2-s2.0-84929192465"
"De Propris R.; Bremer M.N.; Phillipps S.","De Propris, Roberto (57206350564); Bremer, Malcolm N. (7005183546); Phillipps, Steven (6701326337)","57206350564; 7005183546; 6701326337","Morphological evolution in situ: Disc-dominated cluster red sequences at z ~ 1.25","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1268","1278","10","19","10.1093/mnras/stv649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938099098&doi=10.1093%2fmnras%2fstv649&partnerID=40&md5=eb52f9124a9fc9fd2f2cf42d8601ba49","2-s2.0-84938099098"
"Smolčić V.; Karim A.; Miettinen O.; Novak M.; Magnelli B.; Riechers D.A.; Schinnerer E.; Capak P.; Bondi M.; Ciliegi P.; Aravena M.; Bertoldi F.; Bourke S.; Banfield J.; Carilli C.L.; Civano F.; Ilbert O.; Intema H.T.; Le Fèvre O.; Finoguenov A.; Hallinan G.; Klöckner H.-R.; Koekemoer A.; Laigle C.; Masters D.; McCracken H.J.; Mooley K.; Murphy E.; Navarette F.; Salvato M.; Sargent M.; Sheth K.; Toft S.; Zamorani G.","Smolčić, V. (22836751000); Karim, A. (35185235100); Miettinen, O. (57191172625); Novak, M. (56511073600); Magnelli, B. (24481806300); Riechers, D.A. (57203072104); Schinnerer, E. (57203229435); Capak, P. (14919181700); Bondi, M. (7007179735); Ciliegi, P. (8842215300); Aravena, M. (23468406500); Bertoldi, F. (7003410839); Bourke, S. (8865129500); Banfield, J. (44561024000); Carilli, C.L. (7005531977); Civano, F. (22833259300); Ilbert, O. (35239938700); Intema, H.T. (8549469700); Le Fèvre, O. (57205847331); Finoguenov, A. (7003900144); Hallinan, G. (15757530600); Klöckner, H.-R. (55976967500); Koekemoer, A. (7004490233); Laigle, C. (56088305000); Masters, D. (37115881200); McCracken, H.J. (8058520300); Mooley, K. (50661591600); Murphy, E. (55708167000); Navarette, F. (56605123400); Salvato, M. (22836019000); Sargent, M. (22836155200); Sheth, K. (35228008300); Toft, S. (7004109829); Zamorani, G. (8042894900)","22836751000; 35185235100; 57191172625; 56511073600; 24481806300; 57203072104; 57203229435; 14919181700; 7007179735; 8842215300; 23468406500; 7003410839; 8865129500; 44561024000; 7005531977; 22833259300; 35239938700; 8549469700; 57205847331; 7003900144; 15757530600; 55976967500; 7004490233; 56088305000; 37115881200; 8058520300; 50661591600; 55708167000; 56605123400; 22836019000; 22836155200; 35228008300; 7004109829; 8042894900","Physical properties of z > 4 submillimeter galaxies in the COSMOS field","2015","Astronomy and Astrophysics","576","","A127","","","","44","10.1051/0004-6361/201424996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928399895&doi=10.1051%2f0004-6361%2f201424996&partnerID=40&md5=1bc3be9991f6424568537cd13f2c6fd2","2-s2.0-84928399895"
"Teerikorpi P.","Teerikorpi, P. (8846386900)","8846386900","Eddington-Malmquist bias in a cosmological context","2015","Astronomy and Astrophysics","576","","A75","","","","2","10.1051/0004-6361/201425489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926512804&doi=10.1051%2f0004-6361%2f201425489&partnerID=40&md5=e6bc344b53aa38986973d32c4f711c64","2-s2.0-84926512804"
"Bik A.; Östlin G.; Hayes M.; Adamo A.; Melinder J.; Amram P.","Bik, A. (7004258902); Östlin, G. (6701814160); Hayes, M. (57220969689); Adamo, A. (23089892300); Melinder, J. (8951702000); Amram, P. (7004862197)","7004258902; 6701814160; 57220969689; 23089892300; 8951702000; 7004862197","VLT/MUSE view of the highly ionized outflow cones in the nearby starburst ESO338-IG04","2015","Astronomy and Astrophysics","576","","L13","","","","27","10.1051/0004-6361/201525850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928349261&doi=10.1051%2f0004-6361%2f201525850&partnerID=40&md5=33fe83dcb7fc1888f6d03e884dc803f5","2-s2.0-84928349261"
"Shaw J.R.; Sigurdson K.; Sitwell M.; Stebbins A.; Pen U.-L.","Shaw, J. Richard (55460637200); Sigurdson, Kris (6602227365); Sitwell, Michael (56011371000); Stebbins, Albert (57206031384); Pen, Ue-Li (7005890052)","55460637200; 6602227365; 56011371000; 57206031384; 7005890052","Coaxing cosmic 21 cm fluctuations from the polarized sky using m -mode analysis","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","91","8","083514","","","","117","10.1103/PhysRevD.91.083514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929192504&doi=10.1103%2fPhysRevD.91.083514&partnerID=40&md5=0673054b9d7c77eaca7736825a798eb3","2-s2.0-84929192504"
"Gümrükçüoʇlu A.E.; Heisenberg L.; Mukohyama S.; Tanahashi N.","Gümrükçüoʇlu, A. Emir (24824714000); Heisenberg, Lavinia (39061625900); Mukohyama, Shinji (7003789812); Tanahashi, Norihiro (24172147300)","24824714000; 39061625900; 7003789812; 24172147300","Cosmology in bimetric theory with an effective composite coupling to matter","2015","Journal of Cosmology and Astroparticle Physics","2015","4","008","","","","42","10.1088/1475-7516/2015/04/008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927512039&doi=10.1088%2f1475-7516%2f2015%2f04%2f008&partnerID=40&md5=10965418bb7c7325ce3533802c463bb5","2-s2.0-84927512039"
"Vanzella E.; De Barros S.; Castellano M.; Grazian A.; Inoue A.K.; Schaerer D.; Guaita L.; Zamorani G.; Giavalisco M.; Siana B.; Pentericci L.; Giallongo E.; Fontana A.; Vignali C.","Vanzella, E. (55948046500); De Barros, S. (34768228500); Castellano, M. (24439181000); Grazian, A. (9270789600); Inoue, A.K. (7402897995); Schaerer, D. (7004544211); Guaita, L. (35810327400); Zamorani, G. (8042894900); Giavalisco, M. (7004415859); Siana, B. (35227996700); Pentericci, L. (6604043482); Giallongo, E. (56267976900); Fontana, A. (57020852900); Vignali, C. (7006844392)","55948046500; 34768228500; 24439181000; 9270789600; 7402897995; 7004544211; 35810327400; 8042894900; 7004415859; 35227996700; 6604043482; 56267976900; 57020852900; 7006844392","Peering through the holes: The far-UV color of star-forming galaxies at z ∼ 3 - 4 and the escaping fraction of ionizing radiation","2015","Astronomy and Astrophysics","576","","A116","","","","70","10.1051/0004-6361/201525651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928104144&doi=10.1051%2f0004-6361%2f201525651&partnerID=40&md5=b9799d754b09207e6578b6f47005f1f2","2-s2.0-84928104144"
"Bodendorfer N.","Bodendorfer, N. (55175547700)","55175547700","Quantum reduction to Bianchi i models in loop quantum gravity","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","91","8","081502","","","","28","10.1103/PhysRevD.91.081502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929144971&doi=10.1103%2fPhysRevD.91.081502&partnerID=40&md5=d404dc49fb733fd095db233d99b4c36b","2-s2.0-84929144971"
"Khandai N.; Di Matteo T.; Croft R.; Wilkins S.; Feng Y.; Tucker E.; DeGraf C.; Liu M.-S.","Khandai, Nishikanta (26532788400); Di Matteo, Tiziana (57190392609); Croft, Rupert (35299209400); Wilkins, Stephen (23973913700); Feng, Yu (54580801600); Tucker, Evan (55561996900); DeGraf, Colin (35740288000); Liu, Mao-Sheng (56739521000)","26532788400; 57190392609; 35299209400; 23973913700; 54580801600; 55561996900; 35740288000; 56739521000","The MassiveBlack-II simulation: The evolution of haloes and galaxies to z ~ 0","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1349","1374","25","243","10.1093/mnras/stv627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930622363&doi=10.1093%2fmnras%2fstv627&partnerID=40&md5=ec33ec7d393a0459484c1147801089ce","2-s2.0-84930622363"
"Barone-Nugent R.L.; Wyithe J.S.B.; Trenti M.; Treu T.; Oesch P.; Bouwens R.; Illingworth G.D.; Schmidt K.B.","Barone-Nugent, R.L. (55330157400); Wyithe, J.S.B. (7004511239); Trenti, M. (15729758700); Treu, T. (7003853565); Oesch, P. (23968339900); Bouwens, R. (6701327987); Illingworth, G.D. (35330006400); Schmidt, K.B. (26666403800)","55330157400; 7004511239; 15729758700; 7003853565; 23968339900; 6701327987; 35330006400; 26666403800","The impact of strong gravitational lensing on observed Lyman-break galaxy numbers at 4 ≤ z ≤ 8 in the GOODS and the XDF blank fields","2015","Monthly Notices of the Royal Astronomical Society","450","2","","1224","1236","12","26","10.1093/mnras/stv633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938117693&doi=10.1093%2fmnras%2fstv633&partnerID=40&md5=dc63c4d91ce91ea7ede8d75794348ee1","2-s2.0-84938117693"
"Bernal N.; Garcia-Cely C.; Rosenfeld R.","Bernal, Nicolás (55400762600); Garcia-Cely, Camilo (54379993700); Rosenfeld, Rogério (7201664611)","55400762600; 54379993700; 7201664611","WIMP and SIMP dark matter from the spontaneous breaking of a global group","2015","Journal of Cosmology and Astroparticle Physics","2015","4","012","","","","63","10.1088/1475-7516/2015/04/012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927516054&doi=10.1088%2f1475-7516%2f2015%2f04%2f012&partnerID=40&md5=03fe5104d7d89859e2925ec68d880b38","2-s2.0-84927516054"
"Hurier G.; Douspis M.; Aghanim N.; Pointecouteau E.; Diego J.M.; Macias-Perez J.F.","Hurier, G. (54789673200); Douspis, M. (6701702242); Aghanim, N. (6701390827); Pointecouteau, E. (6603425237); Diego, J.M. (7006314412); Macias-Perez, J.F. (6508080858)","54789673200; 6701702242; 6701390827; 6603425237; 7006314412; 6508080858","Cosmological constraints from the observed angular cross-power spectrum between Sunyaev-Zel'dovich and X-ray surveys","2015","Astronomy and Astrophysics","576","","A90","","","","14","10.1051/0004-6361/201425555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926669545&doi=10.1051%2f0004-6361%2f201425555&partnerID=40&md5=ed5e221c3665aef9e004467157377e80","2-s2.0-84926669545"
"De Bruijne J.H.J.; Allen M.; Azaz S.; Krone-Martins A.; Prod'Homme T.; Hestroffer D.","De Bruijne, J.H.J. (7006804027); Allen, M. (56801262300); Azaz, S. (57031816500); Krone-Martins, A. (15842195200); Prod'Homme, T. (36454784700); Hestroffer, D. (6604060408)","7006804027; 56801262300; 57031816500; 15842195200; 36454784700; 6604060408","Detecting stars, galaxies, and asteroids with Gaia","2015","Astronomy and Astrophysics","576","","A74","","","","49","10.1051/0004-6361/201424018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926482975&doi=10.1051%2f0004-6361%2f201424018&partnerID=40&md5=a67055e9ecf6ec0d0e8416db8df21bb5","2-s2.0-84926482975"
